product_id	count
B003L1ZYYM	15334
B0002L5R78	11166
B003EM8008	9766
B0012S4APK	9359
B0001FTVEK	8793
B000WYVBR0	7835
B0019EHU8G	7586
B00F5NE2KG	6688
B004QK7HI8	6537
B00D5Q75RC	6062
B00316263Y	5813
B0052SCU8U	5756
B001GTT0VO	5580
B002MAPT7U	5295
B003WGRUQQ	5072
B008KVUAGU	5015
B001TH7GSW	4866
B009OBCAW2	4773
B004HHICKC	4213
B004LTEUDO	3997
B008JGR9MO	3877
B004OVECU0	3850
B00870ZHCQ	3840
B00B46XUQU	3739
B00020S7XK	3673
B001TIG36C	3572
B0049SCB2Y	3481
B0038W0K2K	3404
B004RKQM8I	3354
B00BEWF4R2	3262
B000WL6YY8	3198
B000IJY8DS	3185
B0049S6ZUS	3184
B004WODP20	3163
B003O1UYHG	3121
B001TH7T2U	3066
B000IG66VS	3059
B003L1ZYYW	2979
B0024R4B5C	2953
B003EM800S	2938
B0015DYMVO	2897
B001A5PDKQ	2873
B002MAPS6W	2852
B00001P4ZH	2814
B001EZYMF4	2799
B00DIFIO8E	2799
B00GZC35YK	2768
B003EM6AOG	2763
B0007MXZB2	2756
B001V9LPT4	2753
B0054JJ0QW	2717
B004S4R5CK	2621
B00004T8R2	2616
B002MYQTEI	2611
B003XM1WE0	2603
B0007XJSQC	2560
B000ID7QNI	2548
B00D6OHHEE	2539
B00APPDX86	2506
B0030AZ44O	2481
B005GGTTZ0	2463
B0018DQYQ2	2461
B001FA1O0O	2453
B0031TRZX2	2427
B000O5N5AI	2415
B001FA1O18	2409
B008QZTJH6	2403
B000JE9LD4	2395
B00HTPHK5W	2385
B001LL5JDA	2369
B009A6CZYO	2337
B000OOWZUK	2300
B00ES2BQ7M	2296
B0016OEV7C	2291
B004NQMCDK	2233
B00C30HUQ2	2225
B004SY5O5K	2218
B007OYAVLI	2196
B000C1Z0HA	2186
B000NMFCIA	2169
B008GVOVK0	2156
B000J2EN4S	2147
B00DIFIP06	2135
B00001WRSJ	2124
B00IF70T4M	2113
B003OC6LWM	2076
B0002KVQBA	2051
B00093IIRA	2046
B001UEBN42	2026
B00K589F8A	2012
B00E0GRRR4	2005
B001F7AHOG	1994
B000RSOV50	1960
B003XM73P2	1951
B0006B486K	1938
B003CJTR82	1907
B0027FGW3K	1904
B0019HL8Q8	1899
B000HKGK8Y	1855
B000YN01X4	1851
B00009V2YV	1844
B00HHDLMEQ	1830
B003XU6H8I	1826
B000ENRQ3M	1819
B003VANOI6	1794
B0015YWKYY	1790
B0060AU5MW	1712
B00393KNVQ	1682
B003EM2WAW	1651
B004YEBK66	1636
B0013CXZZ6	1623
B000MXWSY6	1616
B003ELYQJI	1612
B00IF70QCW	1594
B002HWJT1A	1591
B003EM6AQE	1550
B000289DC6	1541
B0019804U8	1535
B00JAAJ1F6	1531
B005K2TXMO	1526
B003XM9774	1524
B007R6HUEE	1511
B00BQ5RYI4	1510
B002TLT10I	1509
B003ELYQHK	1504
B006U3O566	1495
B004UG41XW	1492
B005LJQMZC	1489
B003P2UMS0	1474
B00EB7812C	1452
B002MAPSC6	1445
B003N9SR00	1428
B0038W0K2U	1427
B000FOYMKU	1427
B000UHQVOW	1414
B004OA733E	1396
B0042A8CW2	1394
B00H2QUD9S	1375
B00400TGEC	1369
B00005N6KG	1368
B008VMT2HQ	1360
B000E6G9RI	1358
B00006JQ06	1357
B005PXMKI2	1357
B00FX6ST8G	1356
B003CJTR8M	1348
B00DIFIM36	1348
B0081F2Z40	1343
B007B6YPAM	1339
B00004Z5CP	1337
B00FJILVDS	1328
B004GW25WY	1327
B004NQU4YY	1323
B00ATZJ5YS	1320
0972683275	1319
B002M3SOC4	1316
B00264GYMG	1315
B00ELCP55I	1307
B003ELYQGG	1305
B005DIRI6I	1302
B001EPVOQY	1298
B004286VMW	1284
B000067RC4	1279
B00K35MU0K	1279
B004RKQMCY	1277
B0001FTVEA	1276
B00119T6NQ	1275
B008D6YZXG	1272
B004LSNF04	1266
B004SP0WAQ	1264
B009CL8NH0	1259
B001TICH08	1249
B00D429Y12	1247
B002RL875A	1247
B00140DBRY	1245
B000092TT0	1237
B00BCA4116	1231
B000KE48CM	1231
B000OMKR8E	1222
B007T0W5CA	1211
B005FVNGRS	1202
B007B9NV8Q	1193
B007136EDG	1184
B002S1CJ2Q	1180
B0019X20R8	1176
B002H3BSCM	1173
B001KC08A4	1167
B00INEG8W4	1165
B00RBIC1IS	1162
B000F9YN2M	1157
B000HPX46U	1153
B000089GN3	1153
B001GS8FZ2	1151
B00GKOZ5DC	1150
B005LISQ0W	1145
B00NC3SU6I	1144
B00007056H	1143
B000092YR6	1140
B002RWJD7A	1140
B009AYLDSU	1136
B00BN5Z2WM	1134
B000UWX70S	1133
B004YI9NTS	1132
B008EWNVI4	1132
B00M1NEUKK	1131
B000067S60	1122
B005LJQNQU	1122
B009L4NLES	1120
B004VF4D9E	1118
B000I3F91O	1107
B000MXWSWI	1105
B004SB1TD4	1105
B00171MWSO	1104
B009AXVM6E	1102
B000CRFOMK	1100
B00EWCUK1Q	1099
B0002CZHN6	1097
B000095SB4	1097
